sample	rc	libs
ERR1620255	20071	23732899
ERR1620256	13315	24182967
ERR1620257	22812	24526330
ERR1620258	16174	23878239
ERR1620259	14924	24063326
ERR1620260	19643	32402850
ERR1620261	8052	20884802
ERR1620262	39480	29840170
ERR1620263	21913	28128171
ERR1620264	9631	26369818
ERR1620265	14209	26351177
ERR1620266	44277	29266558
ERR1620267	39818	28744720
ERR1620268	13242	29453058
ERR1620270	11330	23435707
ERR1620271	14513	25399396
ERR1620272	10130	25094577
ERR1620274	10910	23932157
ERR1620275	25930	25588683
ERR1620276	12124	26792323
ERR1620278	172179	30261336
ERR1620280	22002	29919089
ERR1620282	21477	32362413
ERR1620283	25831	27815279
ERR1620285	24075	29819234
ERR1620286	23879	30537968
ERR1620288	48616	38405581
ERR1620289	16446	29795317
ERR1620290	27696	32516833
ERR1620291	23017	26477836
ERR1620292	16332	24157270
ERR1620293	41175	29041872
ERR1620294	14925	28930499
ERR1620295	16565	27447567
ERR1620296	24367	35441651
ERR1620297	17317	32398433
ERR1620298	20092	30500697
ERR1620300	33161	29827786
ERR1620301	13771	25674075
ERR1620302	19072	28756063
ERR1620303	6080	20174305
ERR1620304	8098	21803528
ERR1620306	8265	24802546
ERR1620308	9484	21698038
ERR1620313	18980	27464949
ERR1620315	11397	21838966
ERR1620316	23605	23268511
ERR1620318	10880	23726961
ERR1620320	27482	24308799
ERR1620322	27944	25052943
ERR1620323	20838	26156920
ERR1620324	48564	31417944
ERR1620325	26609	27283701
ERR1620326	32807	32047652
ERR1620327	21378	25894081
ERR1620328	15246	25068774
ERR1620329	21956	19487492
ERR1620330	25628	25865718
ERR1620331	26842	29519011
ERR1620332	29160	30658497
ERR1620334	27969	29816274
ERR1620335	39275	32096372
ERR1620336	12635	30843749
ERR1620337	17200	28788164
ERR1620338	22619	26295001
ERR1620339	24725	30103721
ERR1620340	32468	29490071
ERR1620341	33474	28166159
ERR1620342	29919	29296456
ERR1620343	22393	31263818
ERR1620344	20352	26746795
ERR1620346	18326	24491790
ERR1620347	25873	27635993
ERR1620348	14718	27569418
ERR1620349	14686	26266700
ERR1620350	16009	28903938
ERR1620351	12745	24605000
ERR1620352	19510	26673604
ERR1620353	28321	28752246
ERR1620355	27264	28072531
ERR1620356	32922	27453493
ERR1620357	17757	25940102
ERR1620358	13087	23104503
ERR1620359	10679	23815273
ERR1620360	23504	21556525
ERR1620361	33344	29542855
ERR1620362	25545	34326061
ERR1620363	24947	31124807
ERR1620364	33322	31102032
ERR1620365	34075	24576666
ERR1620366	15508	20447719
ERR1620367	22582	26149205
ERR1620368	23054	25752676
ERR1620369	18585	29486180
ERR1620370	37144	29217875
ERR1620371	20731	25716533
ERR1620372	17306	28503313
ERR1620373	15528	26290477
ERR1620374	23263	30397283
ERR1620375	27540	27454756
ERR1620376	17273	26146085
ERR1620377	34231	30676819
