sample	rc	libs
SRR5935740	4404	8550882
SRR5935741	6602	13307744
SRR5935744	9848	12769689
SRR5935745	3037	9027564
SRR5935746	3176	9188859
SRR5935750	4698	5005894
SRR5935751	5725	15096465
SRR5935753	5546	11779180
SRR5935754	4559	8281191
SRR5935755	2450	4535335
SRR5935761	5450	11829131
SRR5935762	8643	15356601
SRR5935766	3937	11891731
SRR5935767	2049	4182880
SRR5935768	8746	12528500
SRR5935769	4526	8785463
SRR5935770	6251	13638319
SRR5935773	5870	16370553
SRR5935774	9938	9331981
SRR5935775	3652	10399033
SRR5935777	5561	6036117
SRR5935778	3371	8553888
SRR5935781	2552	7415644
SRR5935785	6583	11071121
SRR5935786	4376	8501788
SRR5935787	5820	13725072
SRR5935788	3862	8785621
SRR5935790	3778	7562627
SRR5935791	2706	8911812
SRR5935792	3663	9039364
SRR5935796	6415	11888223
SRR5935798	8604	15900122
SRR5935800	12142	11977305
SRR5935801	9874	11005998
SRR5935802	6451	13730601
SRR5935803	7143	15130815
SRR5935807	6819	12958645
SRR5935812	3007	7561284
SRR5935814	2689	4248737
SRR5935816	4605	10268030
SRR5935818	7241	7441753
SRR5935822	3450	10695807
SRR5935825	6484	9260017
SRR5935826	2304	6970625
SRR5935827	5936	13321186
SRR5935832	6661	5268115
SRR5935833	4877	10720792
SRR5935834	6944	10191523
SRR5935836	5951	5659198
SRR5935840	14356	11927984
SRR5935842	4433	11440913
SRR5935845	4781	9561647
SRR5935849	8907	14387993
SRR5935852	2562	5920440
SRR5935853	3256	9525955
SRR5935854	4452	8451607
SRR5935855	6524	13509818
SRR5935857	5265	9908393
SRR5935858	2927	9102132
SRR5935859	7283	12825274
SRR5935860	4116	8595884
SRR5935861	4891	9747719
SRR5935863	2842	9899315
SRR5935864	2668	5788327
SRR5935866	9010	10320157
SRR5935867	4432	8382120
SRR5935869	3912	11699306
SRR5935870	3466	10780906
SRR5935871	4171	10639654
SRR5935872	5262	14324818
SRR5935873	3485	10263907
SRR5935875	6764	15369479
SRR5935876	4736	13041206
SRR5935878	11538	9900073
SRR5935880	6396	9242167
SRR5935881	4437	10079333
SRR5935882	4657	11250146
SRR5935883	5823	12244569
SRR5935884	4873	9803437
SRR5935885	5865	8807059
SRR5935886	6197	13982730
SRR5935887	4185	7440157
SRR5935891	5052	12050660
SRR5935895	3911	8537938
SRR5935898	3542	4137920
SRR5935901	6457	10703471
SRR5935904	4319	12187461
SRR5935906	3150	7876127
SRR5935908	2636	7511817
SRR5935909	6166	9702207
SRR5935911	6631	13870288
SRR5935912	2539	6681694
SRR5935914	5564	10442268
SRR5935915	3257	7199466
SRR5935916	4569	13485916
SRR5935917	2821	5573280
