sample	rc	libs
SRR5947807	6022	16075045
SRR5947808	8299	17225594
SRR5947809	13201	13375686
SRR5947810	8555	14619321
SRR5947811	3762	9096267
SRR5947812	9294	9878694
SRR5947813	7564	15163834
SRR5947814	2252	6681167
SRR5947815	5575	11810232
SRR5947816	4149	10745538
SRR5947817	7698	15834121
SRR5947818	149	834708
SRR5947819	52	318576
SRR5947820	11459	23009941
SRR5947821	9063	13426153
SRR5947822	7354	21046926
SRR5947823	11995	23166067
SRR5947824	2697	6596342
SRR5947825	110	282659
SRR5947826	3210	11154318
SRR5947827	9455	15780251
SRR5947828	1859	3286253
SRR5947829	4317	12175423
SRR5947830	2385	7725378
SRR5947831	5480	10185746
SRR5947832	2645	9026944
SRR5947833	1126	3006227
SRR5947834	1756	4531330
SRR5947835	9069	16154410
SRR5947836	5788	14238961
SRR5947837	242	683770
SRR5947838	3097	8696666
SRR5947839	1361	3444062
SRR5947840	10329	17609055
SRR5947842	3971	7871518
SRR5947841	5788	14741959
SRR5947843	1180	2152191
SRR5947844	1179	2793506
SRR5947845	3633	8625981
SRR5947846	5502	10809570
SRR5947847	6474	9873427
SRR5947848	5268	15435966
SRR5947849	6348	11244047
SRR5947850	6946	14001999
SRR5947851	5889	14128589
SRR5947852	6055	18415960
SRR5947853	4221	12040305
SRR5947854	4972	17278378
SRR5947855	8726	20322809
SRR5947856	718	1677444
SRR5947858	4222	13387740
SRR5947857	5354	16082299
SRR5947859	6389	15539485
SRR5947860	5906	11988748
SRR5947861	603	1604765
SRR5947862	6157	11969140
SRR5947863	3450	11163369
SRR5947864	4355	6647470
SRR5947865	13134	15363356
SRR5947866	6506	21163670
SRR5947867	4656	13764046
SRR5947868	6380	16094868
SRR5947869	6729	14536216
SRR5947870	4578	10502641
SRR5947871	7530	14706525
SRR5947872	5139	10964261
SRR5947873	4212	15052355
SRR5947874	6313	9071257
SRR5947875	4329	7910188
SRR5947876	5914	12173738
SRR5947877	3439	9857762
SRR5947878	7268	14465225
SRR5947879	3490	8752920
SRR5947880	10209	19934700
SRR5947881	1029	2479153
SRR5947882	5928	20722138
SRR5947883	3432	12329321
SRR5947884	8317	16980904
SRR5983264	2541	7714722
