sample	rc	libs
ERR12268000	50515	24681665
ERR12268027	8804	7593054
ERR12268029	8131	7106202
ERR12268032	7996	6110084
ERR12268034	8760	8462445
ERR12268037	6183	7328502
ERR12268040	13851	11757211
ERR12268044	16322	10275479
ERR12268050	17517	11393890
ERR12268053	10898	11315516
ERR12268056	12265	9492718
ERR12268058	12169	10376083
ERR12268104	14626	9997022
ERR12268148	16793	9748498
ERR12268152	14631	7921909
ERR12268173	12266	10060950
ERR12268298	10016	9192455
ERR12268310	14920	12697230
ERR12268318	10591	9105451
ERR12268323	11520	7833125
ERR12268325	10040	9055810
ERR12268690	7827	9078916
ERR12302069	7905	7004376
ERR12302187	17942	10517713
ERR12302188	72122	11078699
ERR12302190	78374	9925091
ERR12302192	26187	9307563
ERR12302193	19131	12158002
ERR12302194	14101	10972628
ERR12302196	16326	9072267
ERR12302197	8818	7854640
ERR12302198	26725	9863025
ERR12302201	13216	9818840
ERR12302203	22809	9245012
ERR12302205	42918	10544752
ERR12304080	29421	7984091
ERR12304086	19487	10367791
ERR12304091	11556	10973339
ERR12304098	6434	10236895
ERR12304102	22688	11225151
ERR12304108	31921	29908850
ERR12304114	31481	30357367
ERR12304120	21514	25642287
ERR12304125	29289	35420226
ERR12304133	49880	38813103
ERR12304139	32333	30006424
ERR12304147	64287	34040950
ERR12304159	87690	53168793
ERR12304167	56981	34373508
ERR12304176	50172	36363147
ERR12304185	46348	40298591
ERR12304190	76275	25385962
ERR12304196	48870	29643500
ERR12304200	62345	29457404
ERR12304201	39752	23852448
ERR12304203	52153	25926875
ERR12304207	154676	31997184
ERR12304208	47169	30836621
ERR12304210	61730	25395957
ERR12304212	55239	27152146
ERR12304213	21303	26120483
ERR12304216	67924	30386204
ERR12304218	51514	29648291
ERR12304219	43342	27509392
ERR12304221	207850	29576625
ERR12304223	57945	29167343
ERR12304226	52114	24803316
ERR12304229	40994	25420208
ERR12304231	50791	30911518
ERR12304233	57432	31428638
ERR12304234	61187	38475939
ERR12304236	45915	28183993
ERR12304238	65323	30056638
ERR12304241	70440	29283502
ERR12304243	68681	34653542
ERR12304246	30462	30880936
ERR12304249	106980	34385790
ERR12304252	12637	21985466
ERR12304255	75626	31348137
ERR12304258	65100	32654496
ERR12304262	42444	33275225
ERR12304265	37695	32762410
ERR12304272	232	4867173
ERR12304275	2741	8972190
ERR12304280	55808	77956681
ERR12304284	3543	10306331
ERR12304287	34593	37291112
ERR12304292	69986	53464631
ERR12304296	67668	57856232
ERR12304300	56220	54843216
ERR12304305	238	766376
ERR12304312	4515	18287494
ERR12304321	1896	4815606
ERR12304324	5179	6700769
ERR12304328	75848	72358595
ERR12304332	78352	76429432
ERR12304334	101352	70146597
ERR12304336	26213	14018996
ERR12304337	7072	14154702
ERR12304339	20873	26864200
ERR12304341	1682	1444521
ERR12304342	21099	14861645
ERR12304343	11242	6190090
ERR12304345	8140	8049645
ERR12304346	14519	9581285
ERR12304348	32340	24224520
ERR12304349	10644	8481171
ERR12304350	1039	1534540
ERR12304351	23244	8104288
ERR12304353	19998	13972206
ERR12304354	12542	9826056
ERR12304355	2478	1630702
ERR12304358	55584	30475412
ERR12304359	41813	28529738
ERR12304361	42251	27949884
ERR12304363	30615	23891423
ERR12304364	4077	3171509
ERR12304365	3778	2187151
ERR12304366	23780	22077521
ERR12304369	22850	29445890
ERR12304371	41299	28397182
ERR12304372	279	341622
ERR12304373	1009	753527
ERR12304375	67054	23554466
ERR12304376	39959	23817790
ERR12304378	53552	30559921
ERR12304381	80116	46176917
ERR12304382	7855	5016287
ERR12304383	9814	4891749
ERR12304386	130328	36249410
ERR12304387	13316	12664636
ERR12304388	647	621408
ERR12304390	111128	34255159
ERR12304393	49837	40097283
ERR12304395	234114	34014527
ERR12304397	24531	33552604
ERR12304398	4378	2604765
ERR12304400	24704	31631393
ERR12304403	18705	19168759
