sample	abso_ab	content
UC Q	6.325429148	0.002716262
UC Q	4.045273506	0.001766154
UC Q	3.862394129	0.000449143
UC Q	5.656168448	0.0024346
CD Q	0.640604246	0.000902667
CD Q	7.570565335	0.002146964
CD Q	3.920759888	0.000827925
CD Q	1.73398946	0.000366667
CD Q	2.889631483	0.001194286
CD Q	4.286518642	0.001676731
CD Q	5.866285179	0.002059815
CD Q	4.46939802	0.0012504
CD Q	7.481071172	0.004013
CD Q	6.53554588	0.002538125
CD Q	7.570565335	0.004228628
CD Q	6.446051716	0.001208073
health	5.807919421	0.007954775
health	6.718425257	0.011186195
health	4.741771561	0.0050588
health	7.418814362	0.007229
health	7.387685958	0.015505505
health	6.348775452	0.0052858
health	5.745662611	0.006921835
health	7.146440821	0.010101359
health	6.142549771	0.006111262
health	7.146440821	0.007252233
health	8.27095444	0.018133273
health	6.414923312	0.006774783
health	7.874067281	0.015657248
health	6.901304635	0.006758491
health	8.088075063	0.0133142
health	8.512199576	0.011310097
